epoch;accuracy;loss;val_accuracy;val_loss
0;0.4927686;0.6932074821684971;0.5;0.6931486129760742
1;0.4783058;0.693180979283388;0.5;0.6931461095809937
2;0.48347107;0.6932012138287883;0.49184781312942505;0.6932239532470703
3;0.5041322;0.6931721819333794;0.5027173757553101;0.6933661699295044
4;0.4876033;0.6931530434238024;0.49184781312942505;0.6931526064872742
5;0.48863637;0.6932201843616391;0.52173912525177;0.693032443523407
6;0.5030992;0.6931019390910125;0.47554346919059753;0.6930734515190125
7;0.48863637;0.6931789699664785;0.5;0.6932737231254578
8;0.5113636;0.6929874558094119;0.5054348111152649;0.6930761337280273
9;0.50403225;0.6930537973680804;0.5869565010070801;0.6929869651794434
10;0.5434322;0.6924581643888505;0.52173912525177;0.6911121010780334
11;0.5557851;0.692125172161859;0.5625;0.6918329000473022
12;0.55745965;0.6907620506901895;0.5489130616188049;0.6935387849807739
13;0.5762712;0.6885791451244031;0.5677083134651184;0.6836161613464355
14;0.56198347;0.6863075578508299;0.529891312122345;0.6903079748153687
15;0.59879035;0.6827189307059011;0.5679348111152649;0.6735018491744995
16;0.5879237;0.6776616770332142;0.5978260636329651;0.6769452095031738
17;0.5836777;0.6771334577197871;0.5788043737411499;0.6698617935180664
